label idx,product category
0,Home & Kitchen
1,Health & Personal Care
2,Beauty
3,Sports & Outdoors
4,Books
5,"Patio, Lawn & Garden"
6,Toys & Games
7,CDs & Vinyl
8,Cell Phones & Accessories
9,Grocery & Gourmet Food
10,"Arts, Crafts & Sewing"
11,"Clothing, Shoes & Jewelry"
12,Electronics
13,Movies & TV
14,Software
15,Video Games
16,Automotive
17,Pet Supplies
18,Office Products
19,Industrial & Scientific
20,Musical Instruments
21,Tools & Home Improvement
22,Magazine Subscriptions
23,Baby Products
24,
25,Appliances
26,Kitchen & Dining
27,Collectibles & Fine Art
28,All Beauty
29,Luxury Beauty
30,Amazon Fashion
31,Computers
32,All Electronics
33,Purchase Circles
34,MP3 Players & Accessories
35,Gift Cards
36,Office & School Supplies
37,Home Improvement
38,Camera & Photo
39,GPS & Navigation
40,Digital Music
41,Car Electronics
42,Baby
43,Kindle Store
44,Buy a Kindle
45,Furniture & D&#233;cor
46,#508510
